Називний;Родовий;Давальний;Орудний;Інші форми;Склад;Код посади (МО 317);Номери ВОС (МО 317);Усі ВОС;Назва в переліку МО 317;Джерело
автопілотник;автопілотника;автопілотнику;автопілотником;;рядовий, сержантський, старшинський;003;;так;Автопілотник;Excel, МО 317
авіаційний механік;авіаційного механіка;авіаційному механіку;авіаційним механіком;;рядовий, сержантський, старшинський;002;220, 221, 222, 223, 224, 225, 226, 227, 228, 240, 279;;Авіаційний механік;Excel, МО 317
авіаційний спеціаліст;авіаційного спеціаліста;авіаційному спеціалісту;авіаційним спеціалістом;;рядовий, сержантський, старшинський;001;220, 221, 222, 223, 224, 225, 226, 227, 228, 240, 279;;Авіаційний спеціаліст;Excel, МО 317
авіаційний технік;авіаційного техніка;авіаційному техніку;авіаційним техніком;;"рядовий, сержантський, старшинський; офіцерський";049;220, 221, 222, 223, 224, 225, 226, 227, 228, 240, 279;;Авіаційний технік;Excel, МО 317, складено
ад'юнкт;ад'юнкта;ад'юнкту;ад'юнктом;;офіцерський;;;;;складено
ад'ютант;ад'ютанта;ад'ютанту;ад'ютантом;;"рядовий, сержантський, старшинський; офіцерський";004;901;;Ад'ютант;Excel, МО 317, складено
акумуляторник;акумуляторника;акумуляторнику;акумуляторником;;рядовий, сержантський, старшинський;005;262, 366, 792;;Акумуляторник;Excel, МО 317
апаратник;апаратника;апаратнику;апаратником;;рядовий, сержантський, старшинський;007;799, 959, 982;;Апаратник;Excel, МО 317
арматурник;арматурника;арматурнику;арматурником;;рядовий, сержантський, старшинський;008;956;;Арматурник;Excel, МО 317
артист;артиста;артисту;артистом;;рядовий, сержантський, старшинський;006, 013;;;Артист (для оркестру вищої категорії, 1 категорії) | Артист (для оркестру 2 категорії);Excel, МО 317
артист вищої категорії;артиста вищої категорії;артисту вищої категорії;артистом вищої категорії;;рядовий, сержантський, старшинський;012, 293;;;Артист вищої категорії (для оркестру вищої категорії, 1 категорії) | Артист вищої категорії (для оркестру 2 категорії);Excel, МО 317
артист другої категорії;артиста другої категорії;артисту другої категорії;артистом другої категорії;;рядовий, сержантський, старшинський;239, 066;;;Артист другої категорії (для оркестру вищої категорії, 1 категорії) | Артист другої категорії (для оркестру 2 категорії);Excel, МО 317
