Ключ;Пункт;Підпункт;Причина;Куди;Примітка
1.а;1;а;у зв'язку із закінченням строку контракту;у запас;мирний час
1.б;1;б;за станом здоров'я;у відставку;мирний час; у запас — якщо придатний обмежено
1.в;1;в;за віком;у відставку;мирний час
1.г;1;г;у зв'язку із скороченням штатів або проведенням організаційних заходів;у запас;мирний час
1.ґ;1;ґ;через сімейні обставини або з інших поважних причин;у запас;мирний час
1.д;1;д;через службову невідповідність;у запас;мирний час
1.е;1;е;у зв'язку з набранням законної сили обвинувальним вироком суду;у запас;мирний час
1.ж;1;ж;у зв'язку із систематичним невиконанням умов контракту командуванням;у запас;мирний час; за бажанням військовослужбовця
1.з;1;з;у зв'язку із систематичним невиконанням умов контракту військовослужбовцем;у запас;мирний час
1.и;1;и;у зв'язку з набранням законної сили судовим рішенням про адміністративну відповідальність;у запас;мирний час
1.і;1;і;у зв'язку із неможливістю призначення на іншу посаду у разі прямого підпорядкування близькій особі;у запас;мирний час
1.ї;1;ї;у зв'язку із встановленням за результатами спеціальної перевірки відомостей, які не відповідають встановленим вимогам;у запас;мирний час
1.й;1;й;у зв'язку із застосуванням заборони, передбаченої Законом України «Про очищення влади»;у запас;мирний час
1.к;1;к;у зв'язку із закінченням особливого періоду або оголошенням демобілізації та небажанням продовжувати військову службу за новим контрактом;у запас;мирний час
1.л;1;л;у зв'язку з припиненням громадянства України;у запас;мирний час
1.м;1;м;у зв'язку із встановленням невідповідності вимогам проходження військової служби;у запас;мирний час
1.н;1;н;у зв'язку з визнанням активів необґрунтованими та їх стягненням у дохід держави;у запас;мирний час
1.о;1;о;у зв'язку з відкликанням мандата на право здійснення військової капеланської діяльності;у запас;мирний час
1.п;1;п;за угодою сторін - у разі набуття права на пенсію за вислугу років;у запас;мирний час
1.р;1;р;у зв'язку з обранням народним депутатом України;у запас;мирний час
1.с;1;с;у зв'язку із призначенням (обранням) на посаду судді;у запас;мирний час
2.а;2;а;у зв'язку із закінченням строку контракту;у запас;особливий період
2.б;2;б;за станом здоров'я;у відставку;особливий період; у запас — якщо придатний обмежено
2.в;2;в;за віком;у відставку;особливий період
2.г;2;г;у зв'язку із скороченням штатів або проведенням організаційних заходів;у запас;особливий період
2.ґ;2;ґ;через сімейні обставини або інші поважні причини;у запас;особливий період
2.д;2;д;через службову невідповідність;у запас;особливий період
2.е;2;е;у зв'язку з набранням законної сили обвинувальним вироком суду;у запас;особливий період
2.ж;2;ж;у зв'язку із систематичним невиконанням умов контракту військовослужбовцем;у запас;особливий період
2.й;2;й;які уклали контракт на строк до закінчення особливого періоду та вислужили не менше 24 місяців військової служби за контрактом;у запас;особливий період
2.к;2;к;які проходять військову службу за контрактом, дію якого продовжено понад встановлені строки на період до закінчення особливого періоду або до оголошення демобілізації, та які вислужили не менше 18 місяців з дати продовження дії контракту, якщо вони не висловили бажання продовжувати військову службу під час особливого періоду;у запас;особливий період
2.н;2;н;за угодою сторін - у разі набуття права на пенсію за вислугу років;у запас;особливий період
2.п;2;п;у зв'язку із звільненням з полону;у запас;особливий період
2.р;2;р;у зв'язку з обранням народним депутатом України;у запас;особливий період
