Номер ВОС;Найменування ВОС;Розділ;Підрозділ
003;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
004;Зенітних ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
007;Крилатих ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
008;Протичовнових ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
015;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
016;Тактичних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
019;Зенітних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
020;Крилатих ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
021;Протичовнових ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
028;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
029;Тактичних ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
033;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
034;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
035;Зенітних ракет малої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
036;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
037;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
038;Крилатих ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
039;Протичовнових ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
040;Монтажного і такелажного устаткування;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
047;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
048;Тактичних ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
052;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
053;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
054;Зенітних ракет малої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
055;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
056;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
057;Крилатих ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
058;Протичовнових ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
059;Силових електричних агрегатів;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
065;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
069;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
070;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
071;Зенітних ракет малої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
072;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
073;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
074;Крилатих ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
075;Протичовнових ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
081;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
084;Зенітних ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
085;Крилатих ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
086;Протичовнових ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
100;Стрілецькі;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
101;Кулеметні;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
102;Гранатометні (автоматичних протипіхотних гранатометів);2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
103;Гранатометні (ручних і станкових протитанкових гранатометів);2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
104;Переносних зенітних ракетних комплексів;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
