Група;Назва групи;Код ВОС;Найменування ВОС;Посади, на яких застосовується;Допустимо без додаткової підготовки;Допустимо з додатковою підготовкою;Примітка
01;Управління бойовими діями військ (сил). Бойове застосування військ (сил) ЗС України;011000;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) військ (сил);На посадах керівного складу (керівного льотного складу), що передбачають стратегічний рівень військової освіти, в органах військового управління, ВВНЗ та ВНП ЗВО;012000, 060100;Офіцери інших ВОС, які мають оперативний рівень військової освіти;
01;Управління бойовими діями військ (сил). Бойове застосування військ (сил) ЗС України;012000;Бойове застосування військ (сил);На командних і штабних посадах, що передбачають стратегічний рівень військової освіти, в органах військового управління, ВВНЗ та ВНП ЗВО;011000;;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;020100;Управління бойовими діями (оперативною, бойовою підготовкою та плануванням бойових дій) військ - загальновійськове;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на пунктах управління;021000, 021100, 021200, 021400;;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;021000;Бойове застосування механізованих з’єднань, військових частин і підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;020100, 021100, 021200, 021400;;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;021100;Бойове застосування танкових з’єднань, військових частин і підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;021000;021200;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;021200;Бойове застосування аеромобільних (повітрянодесантних), десантно-штурмових, гірсько-піхотних з’єднань, військових частин, підрозділів;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;021300, 021400;020100, 021000, 461400;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;021300;Організація повітрянодесантної підготовки в аеромобільних (повітрянодесантних), десантно-штурмових, гірсько-піхотних і морської піхоти з’єднаннях, військових частинах, підрозділах;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;063000, 063200;021200, 021400;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;021400;Бойове застосування з’єднань, військових частин і підрозділів морської піхоти;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;021200, 021300, 081000, 082000;020100, 021000;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;022100;Бойове застосування з’єднань, військових частин і підрозділів Національної гвардії України з охорони та оборони важливих державних об’єктів та комунікацій;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;022200, 022300, 022400;021000;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;022200;Бойове застосування з’єднань, військових частин і підрозділів Національної гвардії України з охорони громадського порядку;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;022100, 022300, 022400;021000;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;022300;Бойове застосування з’єднань, військових частин і підрозділів Національної гвардії України з конвоювання, екстрадиції та охорони підсудних;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;022100, 022200, 022400;021000;
02;Управління бойовими діями військ (сил). Бойове застосування механізованих, танкових, десантно-штурмових військ і морської піхоти;022400;Бойове застосування з’єднань, військових частин і підрозділів Національної гвардії України спеціального призначення;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;022100, 022200, 022300;021000, 094200;
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030100;Управління бойовими діями (оперативною та бойовою підготовкою) ракетних військ і артилерії;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також начальники артилерії;030300, 030400, 030500, 030600;;
03;Управління бойовими діями ракетних військ і артилерії та берегових ракетно-артилерійських військ. Бойове застосування оперативно-тактичних і тактичних ракет, наземної артилерії та берегового ракетно-артилерійського озброєння;030300;Бойове застосування з’єднань, військових частин і підрозділів, озброєних комплексами тактичних ракет;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;030100, 030400, 030500, 030600;;
