Код ВОС, що підлягає заміні;Код ВОС, на який здійснюється заміна
010100;030100
030200;030300
040600;040200
020110;020100
030403;030400
041000;040100
020200;020100
030404;030400
041101;040100
020600;020100
030405;030400
041102;041100
021001;021000
030406;030400
041104;041103
021002;021000
030503;030500
041301;041300
021101;021100
030600;021000
041302;041300
021202;021200
032000;032100
041400;041303
021600;021000
034000;032100
041500;041600
041501;041600
043300;044000
062002;062000
041502;041600
043301;044000
062003;062000
041503;041600
043302;044000
062300;461003
041602;041600
044004;044001
062500;461004
041700;041600
050100;030100
062603;062600
041701;041600
050200;030100
062702;062701
041800;042600
050201;030100
062703;062701
042001;042000
060104;060100
062704;062701
042003;042000
060500;060200
063100;021300
043002;043000
060601;060200
070200;070100
043109;043100
061003;061000
071200;071100
043200;041300
061100;061000
071304;071300
043201;041300
061402;061401
071308;071300
043202;041300
061602;061600
072200;072000
043203;041300
061604;061603
072301;072300
043204;041303
061607;061601
072302;072300
043205;043000
061901;061900
072900;072300
073200;073000
094304;090300
101004;101000
073201;073000
094600;090300
101300;101500
073202;073000
094700;094400
101503;101502
073300;073601
094800;094500
101800;101000
073500;073400
094900;090300
110300;110100
073502;073400
095000;472200
110602;110600
073503;073400
095100;091500
111102;111000
073602;073600
097002;030400
111200;111000
073800;472200
097003;030400
120300;120100
073902;472200
097500;090500
120400;120100
081100;073600
097600;090500
120600;120100
081200;073600
098001;098000
120700;120100
090701;090100
100300;100100
121101;121100
091200;091000
100600;100100
121103;121100
092300;091500
101001;101000
121104;121100
093200;092500
101002;101000
121120;121100
094300;090300
101003;101000
121200;121000
121201;121000
122100;530100
191402;590300
121202;121000
130100;530100
200100;200200
121203;121000
130400;530100
201000;200200
121300;121000
130600;530100
220101;220100
121301;121000
130800;530100
221100;221000
121302;121000
130900;530100
221200;221000
121303;121000
131300;530100
221300;221000
121400;121000
132000;530100
221400;221000
121500;121000
140400;140500
230100;700100
121502;121501
141100;140500
230200;700100
121504;121000
141300;141200
230300;700100
121505;121000
141500;141200
231000;700100
121600;121000
170400;170300
240100;701000
121602;121000
180100;180200
240400;701000
121700;121000
180201;180200
241000;701100
121800;121000
191001;191000
241002;701100
121900;121501
191002;191000
242000;701100
250100;702100
261003;703500
300700;300100
250200;702100
261004;703500
300800;300600
250300;702200
261005;703500
310102;310100
250400;702300
261006;703500
310103;310101
250500;702300
261009;703500
310104;310101
250700;702100
261100;703500
310200;310101
250701;702100
261200;703500
310300;310101
250705;702100
261300;703600
310400;310100
260000;702100
261400;705000
320200;320100
260100;703100
280300;280100
340000;340001
260101;703200
290300;290100
340003;341000
260102;703300
290700;290100
340006;341000
260103;703400
290701;360500
340101;340100
260200;703500
290800;530200
340102;340100
261000;703500
300101;300100
340103;340100
261001;703500
300201;300200
340104;340100
261002;703500
300601;300600
340600;340100
341000;342000
343001;340100
420100;705000
341002;341000
343005;340100
420200;706100
341100;341000
343200;340100
420300;706100
341300;341000
343300;340100
420301;706100
341400;341000
343400;340100
420302;706100
341401;341000
344004;344000
430100;705000
341500;341000
344006;344000
430200;707100
341800;340100
345000;290500
430201;707100
341900;342000
347000;346000
430202;707100
342200;340100
390401;390400
430300;707100
342300;340100
390403;390400
430400;707100
342400;340100
390404;390400
430500;707100
342500;340100
390434;390400
430501;707100
342700;340100
390443;390400
430502;707100
342800;340100
390499;390400
430503;707100
342900;340100
399900;399800
430600;707200
343000;340100
403100;390800
430700;707200
430800;707300
441006;708300
443002;708600
430900;707400
441200;708400
443003;708600
431000;707400
441201;708400
444000;708200
431100;707100
441202;708400
444100;708200
431200;707100
441203;708400
445000;708200
440100;705000
441204;708400
446000;708700
440101;708100
441205;708400
447000;708800
440103;442000
441400;708500
