Називний;Родовий;Знахідний;Давальний;Орудний;Джерело;Примітка
автопілотник;автопілотника;автопілотника;автопілотнику;автопілотником;довідник, Excel, зведений;
авіаційний механік;авіаційного механіка;авіаційного механіка;авіаційному механіку;авіаційним механіком;довідник, Excel, зведений;
авіаційний спеціаліст;авіаційного спеціаліста;авіаційного спеціаліста;авіаційному спеціалісту;авіаційним спеціалістом;довідник, Excel, зведений;
авіаційний технік;авіаційного техніка;авіаційного техніка;авіаційному техніку;авіаційним техніком;довідник, Excel, зведений;
ад'юнкт;ад'юнкта;ад'юнкта;ад'юнкту;ад'юнктом;зведений;
ад'ютант;ад'ютанта;ад'ютанта;ад'ютанту;ад'ютантом;довідник, Excel, зведений;
акумуляторник;акумуляторника;акумуляторника;акумуляторнику;акумуляторником;довідник, Excel, зведений;
апаратник;апаратника;апаратника;апаратнику;апаратником;довідник, Excel, зведений;
арматурник;арматурника;арматурника;арматурнику;арматурником;довідник, Excel, зведений;
артист;артиста;артиста;артисту;артистом;довідник, Excel, зведений;
артист вищої категорії;артиста вищої категорії;артиста вищої категорії;артисту вищої категорії;артистом вищої категорії;довідник, Excel, зведений;
артист другої категорії;артиста другої категорії;артиста другої категорії;артисту другої категорії;артистом другої категорії;довідник, Excel, зведений;
артист першої категорії;артиста першої категорії;артиста першої категорії;артисту першої категорії;артистом першої категорії;довідник, Excel, зведений;
артист-тамбурмажор вищої категорії;артиста-тамбурмажора вищої категорії;артиста-тамбурмажора вищої категорії;артисту-тамбурмажору вищої категорії;артистом-тамбурмажором вищої категорії;довідник, Excel, зведений;
артист-тамбурмажор другої категорії;артиста-тамбурмажора другої категорії;артиста-тамбурмажора другої категорії;артисту-тамбурмажору другої категорії;артистом-тамбурмажором другої категорії;довідник, Excel, зведений;
артист-тамбурмажор першої категорії;артиста-тамбурмажора першої категорії;артиста-тамбурмажора першої категорії;артисту-тамбурмажору першої категорії;артистом-тамбурмажором першої категорії;довідник, Excel, зведений;
архіваріус;архіваріуса;архіваріуса;архіваріусу;архіваріусом;довідник, Excel, зведений;
асистент;асистента;асистента;асистенту;асистентом;довідник, Excel, зведений;
асистент фармацевта;асистента фармацевта;асистента фармацевта;асистенту фармацевта;асистентом фармацевта;довідник, Excel, зведений;
асфальтобетонник;асфальтобетонника;асфальтобетонника;асфальтобетоннику;асфальтобетонником;довідник, Excel, зведений;
баталер;баталера;баталера;баталеру;баталером;довідник, Excel, зведений;
бетоняр;бетоняра;бетоняра;бетоняру;бетонярем;довідник, Excel, зведений;
бетоняр резерву;бетоняра резерву;бетоняра резерву;бетоняру резерву;бетоняром резерву;довідник, Excel, зведений;
бойовий медик;бойового медика;бойового медика;бойовому медику;бойовим медиком;довідник, Excel, зведений;
бойовий медик взводу;бойового медика взводу;бойового медика взводу;бойовому медику взводу;бойовим медиком взводу;довідник, Excel, зведений;
бортовий механік;бортового механіка;бортового механіка;бортовому механіку;бортовим механіком;зведений;
бортовий механік-випробувач;бортового механіка-випробувача;бортового механіка-випробувача;бортовому механіку-випробувачу;бортовим механіком-випробувачем;довідник, Excel, зведений;
бортовий технік;бортового техніка;бортового техніка;бортовому техніку;бортовим техніком;довідник, Excel, зведений;
боцман;боцмана;боцмана;боцману;боцманом;зведений;
бухгалтер;бухгалтера;бухгалтера;бухгалтеру;бухгалтером;довідник, Excel, зведений;
бібліотекар;бібліотекаря;бібліотекаря;бібліотекарю;бібліотекаром;довідник, Excel, зведений;
вагранник;вагранника;вагранника;ваграннику;вагранником;довідник, Excel, зведений;
викладач;викладача;викладача;викладачу;викладачем;довідник, Excel, зведений;
випробувач;випробувача;випробувача;випробувачу;випробувачем;зведений;
вогнеметник;вогнеметника;вогнеметника;вогнеметнику;вогнеметником;довідник, Excel, зведений;
вогнеметник-оператор;вогнеметника-оператора;вогнеметника-оператора;вогнеметнику-оператору;вогнеметником-оператором;довідник, Excel, зведений;
водолаз;водолаза;водолаза;водолазу;водолазом;довідник, Excel, зведений;
водолаз-механік;водолаза-механіка;водолаза-механіка;водолазу-механіку;водолазом-механіком;довідник, Excel, зведений;
водолаз-радист;водолаза-радиста;водолаза-радиста;водолазу-радисту;водолазом-радистом;довідник, Excel, зведений;
водій;водія;водія;водію;водієм;довідник, Excel, зведений;
водій дрезини;водія дрезини;водія дрезини;водію дрезини;водієм дрезини;довідник, Excel, зведений;
водій електровізка;водія електровізка;водія електровізка;водію електровізка;водієм електровізка;довідник, Excel, зведений;
водій електронавантажувача;водія електронавантажувача;водія електронавантажувача;водію електронавантажувача;водієм електронавантажувача;зведений;
водій-акумуляторник;водія-акумуляторника;водія-акумуляторника;водію-акумуляторнику;водієм-акумуляторником;довідник, Excel, зведений;
водій-дезінфектор;водія-дезінфектора;водія-дезінфектора;водію-дезінфектору;водієм-дезінфектором;довідник, Excel, зведений;
водій-експедитор;водія-експедитора;водія-експедитора;водію-експедитору;водієм-експедитором;довідник, Excel, зведений;
водій-електрик;водія-електрика;водія-електрика;водію-електрику;водієм-електриком;довідник, Excel, зведений;
водій-електрик-майстер;водія-електрика-майстра;водія-електрика-майстра;водію-електрику-майстру;водієм-електриком-майстром;довідник, Excel, зведений;
водій-електрик-молодший;водія-електрика-молодшого;водія-електрика-молодшого;водію-електрику-молодшому;водієм-електриком-молодшим;довідник, Excel, зведений;
водій-електрик-моторист;водія-електрика-моториста;водія-електрика-моториста;водію-електрику-мотористу;водієм-електриком-мотористом;довідник, Excel, зведений;
водій-електрик-оператор;водія-електрика-оператора;водія-електрика-оператора;водію-електрику-оператору;водієм-електриком-оператором;довідник, Excel, зведений;
водій-заправник;водія-заправника;водія-заправника;водію-заправнику;водієм-заправником;довідник, Excel, зведений;
водій-заряджаючий;водія-заряджаючого;водія-заряджаючого;водію-заряджаючому;водієм-заряджаючим;довідник, Excel, зведений;
водій-коваль;водія-коваля;водія-коваля;водію-ковалю;водієм-ковалем;довідник, Excel, зведений;
водій-кранівник;водія-кранівника;водія-кранівника;водію-кранівнику;водієм-кранівником;довідник, Excel, зведений;
водій-кулеметник;водія-кулеметника;водія-кулеметника;водію-кулеметнику;водієм-кулеметником;довідник, Excel, зведений;
водій-кіномеханік;водія-кіномеханіка;водія-кіномеханіка;водію-кіномеханіку;водієм-кіномеханіком;довідник, Excel, зведений;
водій-лінійний наглядач;водія-лінійного наглядача;водія-лінійного налядача;водію-лінійному наглядачу;водієм-лінійним наглядачем;довідник, Excel, зведений;
водій-майстер;водія-майстра;водія-майстра;водію-майстру;водієм-майстром;довідник, Excel, зведений;
водій-машиніст;водія-машиніста;водія-машиніста;водію-машиністу;водієм-машиністом;довідник, Excel, зведений;
водій-механік;водія-механіка;водія-механіка;водію-механіку;водієм-механіком;довідник, Excel, зведений;
водій-монтажник;водія-монтажника;водія-монтажника;водію-монтажнику;водієм-монтажником;довідник, Excel, зведений;
водій-номер;водія-номера;водія-номера;водію-номеру;водієм-номером;довідник, Excel, зведений;
водій-оператор;водія-оператора;водія-оператора;водію-оператору;водієм-оператором;довідник, Excel, зведений;
