Називний;Родовий;Знахідний;Давальний;Примітка
рекрут;рекрута;рекрута;рекруту;
солдат;солдата;солдата;солдату;
старший солдат;старшого солдата;старшого солдата;старшому солдату;
рядовий;рядового;рядового;рядовому;застаріле звання
єфрейтор;єфрейтора;єфрейтора;єфрейтору;застаріле звання
молодший сержант;молодшого сержанта;молодшого сержанта;молодшому сержанту;
сержант;сержанта;сержанта;сержанту;
старший сержант;старшого сержанта;старшого сержанта;старшому сержанту;
головний сержант;головного сержанта;головного сержанта;головному сержанту;
штаб-сержант;штаб-сержанта;штаб-сержанта;штаб-сержанту;
майстер-сержант;майстер-сержанта;майстер-сержанта;майстер-сержанту;
старший майстер-сержант;старшого майстер-сержанта;старшого майстер-сержанта;старшому майстер-сержант;
головний майстер-сержант;головного майстер-сержанта;головного майстер-сержанта;головному майстер-сержант;
старшина;старшини;старшину;старшині;застаріле звання
прапорщик;прапорщика;прапорщика;прапорщику;застаріле звання
старший прапорщик;старшого прапорщика;старшого прапорщика;старшому прапорщику;застаріле звання
молодший лейтенант;молодшого лейтенанта;молодшого лейтенанта;молодшому лейтенанту;
лейтенант;лейтенанта;лейтенанта;лейтенанту;
старший лейтенант;старшого лейтенанта;старшого лейтенанта;старшому лейтенанту;
капітан;капітана;капітана;капітану;
майор;майора;майора;майору;
підполковник;підполковника;підполковника;підполковнику;
полковник;полковника;полковника;полковнику;
бригадний генерал;бригадного генерала;бригадного генерала;бригадному генералу;
генерал-майор;генерал-майора;генерал-майора;генерал-майору;
генерал-лейтенант;генерал-лейтенанта;генерал-лейтенанта;генерал-лейтенанту;
генерал;генерала;генерала;генералу;
матрос;матроса;матроса;матросу;
старший матрос;старшого матроса;старшого матроса;старшому матросу;
старшина 2 статті;старшини 2 статті;старшину 2 статті;старшині 2 статті;
старшина 1 статті;старшини 1 статті;старшину 1 статті;старшині 1 статті;
головний старшина;головного старшини;головного старшину;головному старшині;
головний корабельний старшина;головного корабельного старшини;головного корабельного старшину;головному корабельному старшина;
штаб-старшина;штаб-старшини;штаб-старшину;штаб-старшині;
майстер-старшина;майстер-старшини;майстер-старшину;майстер-старшині;
старший майстер-старшина;старшого майстер-старшини;старшого майстер-старшину;старшому майстер-старшина;
головний майстер-старшина;головного майстер-старшини;головного майстер-старшину;головному майстер-старшина;
мічман;мічмана;мічмана;мічману;застаріле звання
старший мічман;старшого мічмана;старшого мічмана;старшому мічману;застаріле звання
капітан-лейтенант;капітан-лейтенанта;капітан-лейтенанта;капітан-лейтенанту;
капітан 3 рангу;капітана 3 рангу;капітана 3 рангу;капітану 3 рангу;
капітан 2 рангу;капітана 2 рангу;капітана 2 рангу;капітану 2 рангу;
капітан 1 рангу;капітана 1 рангу;капітана 1 рангу;капітану 1 рангу;
коммодор;коммодора;коммодора;коммодору;
контрадмірал;контрадмірала;контрадмірала;контрадміралу;
віцеадмірал;віцеадмірала;віцеадмірала;віцеадміралу;
адмірал;адмірала;адмірала;адміралу;
