шпк;Коефіцієнт;Примітка
солдат;1;
старший солдат;2;
молодший сержант;3;
сержант;4;
старший сержант;5;
головний сержант;6;
штаб-сержант;7;
майстер-сержант;8;
старший майстер-сержант;9;
головний майстер-сержант;10;
молодший лейтенант;11;
лейтенант;12;
старший лейтенант;13;
капітан;14;
майор;15;
підполковник;16;
полковник;17;
бригадний генерал;18;
генерал-майор;19;
генерал-лейтенант;20;
генерал;21;
матрос;1;корабельні звання — на тому ж рівні, що й військові
старший матрос;2;
старшина 2 статті;3;
старшина 1 статті;4;
головний старшина;5;
головний корабельний старшина;6;
штаб-старшина;7;
майстер-старшина;8;
старший майстер-старшина;9;
головний майстер-старшина;10;
капітан-лейтенант;14;
капітан 3 рангу;15;
капітан 2 рангу;16;
капітан 1 рангу;17;
коммодор;18;
контрадмірал;19;
віцеадмірал;20;
адмірал;21;
