Заголовок;Поле;Примітка
Військове звання;rank;
Звання;rank;
Прізвище, ім'я та по батькові;full_name;
Прізвище, ім'я, по батькові;full_name;
ПІБ;full_name;
Прізвище;surname;коли ПІБ розбите на три графи
Ім'я;name;
По батькові;patronymic;
РНОКПП;ipn;
ІПН;ipn;
Реєстраційний номер облікової картки платника податків;ipn;
Дата народження;birth;
Рік народження;birth;
Освіта;education;
У ЗС з;service_since;
У ЗС із;service_since;
Займана посада;position;
Посада;position;
Найменування посади;position;
шпк;shpk;
ВОС;vos;
Тарифний розряд;tariff;
Посада, на яку призначається;new_position;план переміщення
Вакантна посада;new_position;
шпк нової посади;new_shpk;
Підстава;basis;
Підстава включення до плану;basis;
Підстава звільнення;dismissal;підпункт статті 26: «1.а», «б»
Підпункт;dismissal;
Куди звільняється;destination;у запас / у відставку
Вислуга календарна;service_calendar;
Календарна вислуга;service_calendar;
Вислуга пільгова;service_privileged;
Пільгова вислуга;service_privileged;
Військовий облік;registration;ТЦК та СП
ТЦК та СП;registration;
Право на форму;uniform;так / ні
Примітка до звільнення;dismissal_note;
Присвоюється звання;new_rank;
Нове звання;new_rank;
Вислуга у званні;rank_seniority;
Строк перебування у званні з;rank_since;
Примітка до звання;rank_note;достроково на N місяців
